Player,Min,90s,Age,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Nation,Pos,Comp,Squad,Cluster_KMeans,DBSCAN_Label
Aaron Ciammaglichella,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,MF,Serie A,Torino,2,0
Aaron Cresswell,824.0,9.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,ENG,DF,Premier League,West Ham,2,0
Aaron Malouda,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,FW,Ligue 1,Lille,2,0
Aaron Ramsdale,2700.0,30.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG,GK,Premier League,Southampton,2,0
Aaron Wan-Bissaka,3154.0,35.0,26.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.05999999999999999,0.14,0.2,0.029999999999999995,0.1,0.14,0.029999999999999995,0.14,COD,DF,Premier League,West Ham,5,0
Aarón Martín,3085.0,34.3,27.0,0.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,5.5,6.4,50.0,90.0,108.0,0.0,0.23,0.23,0.03,0.16,0.19,0.03,0.19,ESP,DF,Serie A,Genoa,0,0
Abakar Sylla,950.0,10.6,21.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.1,0.5,0.0,21.0,3.0,0.09,0.0,0.09,0.04,0.01,0.05,0.04,0.05,CIV,DF,Ligue 1,Strasbourg,3,0
Abdallah Sima,1238.0,13.8,23.0,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.9,5.9,1.0,6.9,36.0,24.0,92.0,0.51,0.15,0.65,0.43000000000000005,0.07,0.5,0.43000000000000005,0.5,SEN,"FW,MF",Ligue 1,Brest,1,0
Abde Ezzalzouli,1984.0,22.0,22.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,8.0,7.2,2.0,9.3,117.0,68.0,215.0,0.09,0.09,0.18,0.36,0.09,0.46,0.33,0.42,MAR,"FW,MF",La Liga,Betis,5,0
Abde Rebbach,385.0,4.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,16.0,5.0,34.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,ALG,"FW,MF",La Liga,Alavés,2,0
Abdel Abqar,2463.0,27.4,25.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.9000000000000001,0.9000000000000001,0.3,1.2,16.0,79.0,4.0,0.0,0.04,0.04,0.03,0.01,0.04,0.03,0.04,MAR,DF,La Liga,Alavés,0,0
